Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;Valor;Valor_USD
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;70;Zona Noroccidental;360000000.0;93240.09
Casa;Casa en venta en Castilla;4;3;170;Castilla;670000000.0;173530.17
Apartamento;Apartamento en venta en Chico Reservado;3;3;144;Chico Reservado;1120000000.0;290080.29
Apartamento;Apartamento en venta en Usaquén;3;2;154;Usaquén;890000000.0;230510.23
Apartamento;Apartamento en venta en Bella Suiza;2;3;128;Bella Suiza;970000000.0;251230.25
Apartamento;Apartamento en venta en Bella Suiza;1;2;62;Bella Suiza;510000000.0;132090.13
Apartamento;Apartamento en venta en Bella Suiza;1;2;62;Bella Suiza;500000000.0;129500.13
Apartamento;Apartamento en venta en Bella Suiza;3;4;212;Bella Suiza;2350000000.0;608650.61
Apartamento;Apartamento en venta en El Chicó;3;2;159;El Chicó;850000000.0;220150.22
Apartamento;Apartamento en venta en Bella Suiza;2;2;80;Bella Suiza;642000000.0;166278.17
Apartamento;Apartamento en venta en Bella Suiza;2;2;80;Bella Suiza;652000000.0;168868.17
Casa;Casa en venta en Tintala;3;2;59;Tintala;168000000.0;43512.04
Apartamento;Apartamento en venta en Tintala;2;1;45;Tintala;205000000.0;53095.05
Casa;Casa en venta en Marly;3;3;147;Marly;300000000.0;77700.08
Apartamento;Apartamento en venta en Kennedy;4;3;98;Kennedy;680000000.0;176120.18
Casa;Casa en venta en Zona Noroccidental;3;4;300;Zona Noroccidental;2519000000.0;652421.65
Apartamento;Apartamento en venta en Nicolas De Federman;3;2;87;Nicolas De Federman;420000000.0;108780.11
Apartamento;Apartamento en venta en La Calleja;2;2;82;La Calleja;620000000.0;160580.16
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;45;Zona Noroccidental;239000000.0;61901.06
Casa;Casa en venta en Zona Noroccidental;3;6;380;Zona Noroccidental;1600000000.0;414400.41
Apartamento;Apartamento en venta en Usaquén;1;2;50;Usaquén;420000000.0;108780.11
Apartamento;Apartamento en venta en Nicolas De Federman;3;2;89;Nicolas De Federman;625000000.0;161875.16
Casa;Casa en venta en Zona Noroccidental;3;5;365;Zona Noroccidental;2799000000.0;724941.72
Casa;Casa en venta en Zona Noroccidental;5;5;450;Zona Noroccidental;1450000000.0;375550.38
Casa;Casa en venta en Zona Noroccidental;4;5;315;Zona Noroccidental;2000000000.0;518000.52
Apartamento;Apartamento en venta en Mazuren;3;3;102;Mazuren;670000000.0;173530.17
Casa;Casa en venta en Zona Noroccidental;4;6;423;Zona Noroccidental;1800000000.0;466200.47
Apartamento;Apartamento en venta en Suba;3;2;75;Suba;469000000.0;121471.12
Casa;Casa en venta en Zona Noroccidental;5;2;200;Zona Noroccidental;580000000.0;150220.15
Apartamento;Apartamento en venta en Barrios Unidos;3;2;67;Barrios Unidos;445000000.0;115255.12
Apartamento;Apartamento en venta en Usaquén;3;3;66;Usaquén;261500000.0;67728.57
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;278000000.0;72002.07
Apartamento;Apartamento en venta en Engativa;3;2;60;Engativa;258000000.0;66822.07
Apartamento;Apartamento en venta en Fontibón;3;3;87;Fontibón;520000000.0;134680.13
Casa;Casa en venta en Tintala;3;2;75;Tintala;200000000.0;51800.05
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;45;Zona Noroccidental;129000000.0;33411.03
Apartamento;Apartamento en venta en Villa Alsacia;3;2;75;Villa Alsacia;350000000.0;90650.09
Apartamento;Apartamento en venta en Zona Noroccidental;32;2;63;Zona Noroccidental;290500000.0;75239.58
Apartamento;Apartamento en venta en Palermo;3;2;130;Palermo;750000000.0;194250.19
Apartamento;Apartamento en venta en Chico Reservado;1;1;64;Chico Reservado;495000000.0;128205.13
Casa;Casa en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;285000000.0;73815.07
Apartamento;Apartamento en venta en La Candelaria;4;4;160;La Candelaria;900000000.0;233100.23
Apartamento;Apartamento en venta en Zona Noroccidental;4;4;294;Zona Noroccidental;1800000000.0;466200.47
Apartamento;Apartamento en venta en El Contador;3;3;206;El Contador;990000000.0;256410.26
Apartamento;Apartamento en venta en El Batán;3;3;103;El Batán;418000000.0;108262.11
Apartamento;Apartamento en venta en Usaquén;2;2;80;Usaquén;349000000.0;90391.09
Apartamento;Apartamento en venta en Santa Barbara;3;1;101;Santa Barbara;565000000.0;146335.15
Apartamento;Apartamento en venta en Mirandela ;3;3;87;Mirandela ;370000000.0;95830.1
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;259000000.0;67081.07
Apartamento;Apartamento en venta en Castilla;3;2;68;Castilla;310000000.0;80290.08
Apartamento;Apartamento en venta en Cedritos;2;2;79;Cedritos;354000000.0;91686.09
Apartamento;Apartamento en venta en Mazuren;3;3;92;Mazuren;372000000.0;96348.1
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;88;Zona Noroccidental;500000000.0;129500.13
Apartamento;Apartamento en venta en Fontibón;3;2;84;Fontibón;420000000.0;108780.11
Apartamento;Apartamento en venta en El Contador;3;3;177;El Contador;1050000000.0;271950.27
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;185000000.0;47915.05
Apartamento;Apartamento en venta en Colina Campestre;3;3;109;Colina Campestre;515000000.0;133385.13
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;75;Zona Noroccidental;287000000.0;74333.07
Apartamento;Apartamento en venta en Colina Campestre;2;1;50;Colina Campestre;265000000.0;68635.07
Apartamento;Apartamento en venta en Fontibón;3;2;87;Fontibón;500000000.0;129500.13
Apartamento;Apartamento en venta en Hayuelos;3;2;61;Hayuelos;300000000.0;77700.08
